CODE_A,TITLE_A,SUBCODE_A,SUBTITLE_A,CODE_B,TITLE_B,SUBCODE_B,SUBTITLE_B,ACTION
R403,Komoditi sumber penghasilan utama penduduk,5,Kelapa sawit;,R403,Komoditi sumber penghasilan utama penduduk,5,Kelapa sawit;,match
R403,Komoditi sumber penghasilan utama penduduk,6,Kopi;,R403,Komoditi sumber penghasilan utama penduduk,6,Kopi;,match
R403,Komoditi sumber penghasilan utama penduduk,7,Kakao;,R403,Komoditi sumber penghasilan utama penduduk,7,Kakao;,match
R403,Komoditi sumber penghasilan utama penduduk,8,Kelapa;,R403,Komoditi sumber penghasilan utama penduduk,8,Kelapa;,match
R403,Komoditi sumber penghasilan utama penduduk,9,Lada;,R403,Komoditi sumber penghasilan utama penduduk,9,Lada;,match
R403,Komoditi sumber penghasilan utama penduduk,10,Cengkeh,R403,Komoditi sumber penghasilan utama penduduk,10,Cengkeh,match
R403,Komoditi sumber penghasilan utama penduduk,11,Tembakau,R403,Komoditi sumber penghasilan utama penduduk,11,Tembakau,match
R403,Komoditi sumber penghasilan utama penduduk,12,Peternakan,R403,Komoditi sumber penghasilan utama penduduk,12,Peternakan,match
R403,Komoditi sumber penghasilan utama penduduk,13,Perikanan tangkap,R403,Komoditi sumber penghasilan utama penduduk,13,Perikanan tangkap,match
R403,Komoditi sumber penghasilan utama penduduk,14,Perikanan budidaya,R403,Komoditi sumber penghasilan utama penduduk,14,Perikanan budidaya,match
R403,Komoditi sumber penghasilan utama penduduk,15,Kehutanan,R403,Komoditi sumber penghasilan utama penduduk,15,Kehutanan,match
R403,Komoditi sumber penghasilan utama penduduk,16,Lainnya,R403,Komoditi sumber penghasilan utama penduduk,16,Lainnya,match
R404A,Penduduk yang sedang bekerja sebagai TKI di luar negeri,1,Ada,R404A,Penduduk yang sedang bekerja sebagai TKI di luar negeri,1,Ada,match
R404A,Penduduk yang sedang bekerja sebagai TKI di luar negeri,2,Tidak,R404A,Penduduk yang sedang bekerja sebagai TKI di luar negeri,2,Tidak,match
R404B,Jumlah TKI,-,-,R404B,Jumlah TKI,-,-,match
R501A,Keluarga pengguna listrik,-,-,R501A,Keluarga pengguna listrik,-,-,match
R501B1,Jumlah keluarga pengguna listrik PLN,-,-,R501B1,Jumlah keluarga pengguna listrik PLN,-,-,match
R501B2,Jumlah keluarga pengguna listrik Non-PLN,-,-,R501B2,Jumlah keluarga pengguna listrik Non-PLN,-,-,match
R502A,Penerangan jalan utama desa/kelurahan,1,Ada,R502A,Penerangan jalan utama desa/kelurahan,1,Ada,match
R502A,Penerangan jalan utama desa/kelurahan,2,Tidak,R502A,Penerangan jalan utama desa/kelurahan,2,Tidak,match
R502B,Jenis penerangan,1,Listrik diusahakan oleh pemerintah,R502B,Jenis penerangan,1,Listrik diusahakan oleh pemerintah,match
R502B,Jenis penerangan,2,Listrik nonpemerintah,R502B,Jenis penerangan,2,Listrik nonpemerintah,match
R502B,Jenis penerangan,3,Nonlistrik,R502B,Jenis penerangan,3,Nonlistrik,match
R503,Bahan bakar untuk memasak,1,Gas kota/LPG,R503,Bahan bakar untuk memasak,1,Gas kota/LPG,match
R503,Bahan bakar untuk memasak,2,Minyak tanah,R503,Bahan bakar untuk memasak,2,Minyak tanah,match
R503,Bahan bakar untuk memasak,3,Kayu bakar,R503,Bahan bakar untuk memasak,3,Kayu bakar,match
R503,Bahan bakar untuk memasak,4,"Lainnya (batubara, arang, dll)",R503,Bahan bakar untuk memasak,4,"Lainnya (batubara, arang, dll)",match
R504A,Tempat buang sampah penduduk,1,"Tempat sampah, kemudian diangkut",R504A,Tempat buang sampah penduduk,1,"Tempat sampah, kemudian diangkut",match
R504A,Tempat buang sampah penduduk,2,Dalam lubang/dibakar,R504A,Tempat buang sampah penduduk,2,Dalam lubang/dibakar,match
R504A,Tempat buang sampah penduduk,4,Sungai,R504A,Tempat buang sampah penduduk,4,Sungai,match
R504A,Tempat buang sampah penduduk,8,Lainnya,R504A,Tempat buang sampah penduduk,8,Lainnya,match
R504B,Sebagian besar penduduk membuang sampah ke,1,"Tempat sampah, kemudian diangkut",R504B,Sebagian besar penduduk membuang sampah ke,1,"Tempat sampah, kemudian diangkut",match
R504B,Sebagian besar penduduk membuang sampah ke,2,Dalam lubang/dibakar,R504B,Sebagian besar penduduk membuang sampah ke,2,Dalam lubang/dibakar,match
R504B,Sebagian besar penduduk membuang sampah ke,4,Sungai,R504B,Sebagian besar penduduk membuang sampah ke,4,Sungai,match
R504B,Sebagian besar penduduk membuang sampah ke,8,Lainnya,R504B,Sebagian besar penduduk membuang sampah ke,8,Lainnya,match
R504C,Tempat Penampungan Sampah Sememtara di Desa/Kelurahan,1,Ada,R504C,Tempat Penampungan Sampah Sememtara di Desa/Kelurahan,1,Ada,match
R504C,Tempat Penampungan Sampah Sememtara di Desa/Kelurahan,2,Tidak,R504C,Tempat Penampungan Sampah Sememtara di Desa/Kelurahan,2,Tidak,match
R505,Tempat BAB keluarga,1,Jamban sendiri,R505,Tempat BAB keluarga,1,Jamban sendiri,match
R505,Tempat BAB keluarga,2,Jamban bersama,R505,Tempat BAB keluarga,2,Jamban bersama,match
R505,Tempat BAB keluarga,3,Jamban umum,R505,Tempat BAB keluarga,3,Jamban umum,match
R505,Tempat BAB keluarga,4,Bukan jamban,R505,Tempat BAB keluarga,4,Bukan jamban,match
R506A,Sungai yang melintasi desa/kelurahan ini,1,Ada,R506A,Sungai yang melintasi desa/kelurahan ini,1,Ada,match
R506A,Sungai yang melintasi desa/kelurahan ini,2,Tidak,R506A,Sungai yang melintasi desa/kelurahan ini,2,Tidak,match
R506B1,Mandi/cuci,1,Ya,R506B1,Mandi/cuci,1,Ya,match
R506B1,Mandi/cuci,2,Tidak,R506B1,Mandi/cuci,2,Tidak,match
R506B2,Minum,1,Ya,R506B2,Minum,1,Ya,match
R506B2,Minum,2,Tidak,R506B2,Minum,2,Tidak,match
R506B3,Bahan baku air minum,1,Ya,R506B3,Bahan baku air minum,1,Ya,match
R506B3,Bahan baku air minum,2,Tidak,R506B3,Bahan baku air minum,2,Tidak,match
R506B4,Irigasi,1,Ya,R506B4,Irigasi,1,Ya,match
R506B4,Irigasi,2,Tidak,R506B4,Irigasi,2,Tidak,match
R506B5,Untuk industri/pabrik,1,Ya,R506B5,Untuk industri/pabrik,1,Ya,match
R506B5,Untuk industri/pabrik,2,Tidak,R506B5,Untuk industri/pabrik,2,Tidak,match
R506B6,Transportasi,1,Ya,R506B6,Transportasi,1,Ya,match
R506B6,Transportasi,2,Tidak,R506B6,Transportasi,2,Tidak,match
R506B7,Lainnya,1,Ya,R506B7,Lainnya,1,Ya,match
R506B7,Lainnya,2,Tidak,R506B7,Lainnya,2,Tidak,match
R507A,Keluarga yang bertempat tinggal di bantaran/tepi sungai,1,Ya,R507A,Keluarga yang bertempat tinggal di bantaran/tepi sungai,1,Ya,match
R507A,Keluarga yang bertempat tinggal di bantaran/tepi sungai,2,Tidak,R507A,Keluarga yang bertempat tinggal di bantaran/tepi sungai,2,Tidak,match
R507B1,"Jika ada, jumlah keluarga",-,-,R507B1,"Jika ada, jumlah keluarga",-,-,match
R507B2,"Jika ada, jumlah bangunan rumah",-,-,R507B2,"Jika ada, jumlah bangunan rumah",-,-,match
R508A,Keluarga bertempat tinggal di bawah jaringan listrik tegangan tinggi,1,Ada,R508A,Keluarga bertempat tinggal di bawah jaringan listrik tegangan tinggi,1,Ada,match
R508A,Keluarga bertempat tinggal di bawah jaringan listrik tegangan tinggi,2,Tidak,R508A,Keluarga bertempat tinggal di bawah jaringan listrik tegangan tinggi,2,Tidak,match
R508A,Keluarga bertempat tinggal di bawah jaringan listrik tegangan tinggi,3,Tidak ada listrik tegangan tinggi,R508A,Keluarga bertempat tinggal di bawah jaringan listrik tegangan tinggi,3,Tidak ada listrik tegangan tinggi,match
R508B1,"Jika ada, jumlah keluarga",-,-,R508B1,"Jika ada, jumlah keluarga",-,-,match
R508B2,"Jika ada, jumlah bangunan rumah",-,-,R508B2,"Jika ada, jumlah bangunan rumah",-,-,match
R509A,Permukiman kumuh,1,Ada,R509A,Permukiman kumuh,1,Ada,match
R509A,Permukiman kumuh,2,Tidak,R509A,Permukiman kumuh,2,Tidak,match
R509B1,"Jika ada, jumlah lokasi",-,-,R509B1,"Jika ada, jumlah lokasi",-,-,match
R509B2,"Jika ada, jumlah bangunan rumah",-,-,R509B2,"Jika ada, jumlah bangunan rumah",-,-,match
R509B3,"Jika ada, jumlah keluarga",-,-,R509B3,"Jika ada, jumlah keluarga",-,-,match
R510A_2,Jenis pencemaran : a. Air,1,Ada,R510A_2,Jenis pencemaran : a. Air,1,Ada,match
R510A_2,Jenis pencemaran : a. Air,2,Tidak,R510A_2,Jenis pencemaran : a. Air,2,Tidak,match
R510A_31,Sumber pencemaran urama : a. Air,1,Limbah keluarga,R510A_31,Sumber pencemaran urama : a. Air,1,Limbah keluarga,match
R510A_31,Sumber pencemaran urama : a. Air,2,Limbah plastik,R510A_31,Sumber pencemaran urama : a. Air,2,Limbah plastik,match
R510A_31,Sumber pencemaran urama : a. Air,3,Limbah lainnya,R510A_31,Sumber pencemaran urama : a. Air,3,Limbah lainnya,match
R510A_32,Pencemaran Air  lainnya,1,Ada,R510A_32,Pencemaran Air  lainnya,1,Ada,match
R510A_32,Pencemaran Air  lainnya,2,Tidak,R510A_32,Pencemaran Air  lainnya,2,Tidak,match
R510A_4,Pengaduan ke Kades/Lurah : a. Air,1,Ada,R510A_4,Pengaduan ke Kades/Lurah : a. Air,1,Ada,match
R510A_4,Pengaduan ke Kades/Lurah : a. Air,2,Tidak,R510A_4,Pengaduan ke Kades/Lurah : a. Air,2,Tidak,match
R510B_2,Jenis pencemaran : b. Tanah,1,Limbah keluarga,R510B_2,Jenis pencemaran : b. Tanah,1,Limbah keluarga,match
R510B_2,Jenis pencemaran : b. Tanah,2,Limbah plastik,R510B_2,Jenis pencemaran : b. Tanah,2,Limbah plastik,match
R510B_2,Jenis pencemaran : b. Tanah,3,Limbah lainnya,R510B_2,Jenis pencemaran : b. Tanah,3,Limbah lainnya,match
R510B_31,Sumber pencemaran utama : b. Tanah,1,Ada,R510B_31,Sumber pencemaran utama : b. Tanah,1,Ada,match
R510B_31,Sumber pencemaran utama : b. Tanah,2,Tidak,R510B_31,Sumber pencemaran utama : b. Tanah,2,Tidak,match
R510B_32,Pencemaran Tanah lainnya,1,Ada,R510B_32,Pencemaran Tanah lainnya,1,Ada,match
R510B_32,Pencemaran Tanah lainnya,2,Tidak,R510B_32,Pencemaran Tanah lainnya,2,Tidak,match
R510B_4,Pengaduan ke Kades/Lurah : b. Tanah,1,Limbah keluarga,R510B_4,Pengaduan ke Kades/Lurah : b. Tanah,1,Limbah keluarga,match
R510B_4,Pengaduan ke Kades/Lurah : b. Tanah,2,Limbah plastik,R510B_4,Pengaduan ke Kades/Lurah : b. Tanah,2,Limbah plastik,match
R510B_4,Pengaduan ke Kades/Lurah : b. Tanah,3,Limbah lainnya,R510B_4,Pengaduan ke Kades/Lurah : b. Tanah,3,Limbah lainnya,match
R510C_2,Jenis pencemaran : c. Udara,1,Ada,R510C_2,Jenis pencemaran : c. Udara,1,Ada,match
R510C_2,Jenis pencemaran : c. Udara,2,Tidak,R510C_2,Jenis pencemaran : c. Udara,2,Tidak,match
R510C_31,Sumber pencemaran urama : c. Udara,1,Ada,R510C_31,Sumber pencemaran urama : c. Udara,1,Ada,match
R510C_31,Sumber pencemaran urama : c. Udara,2,Tidak,R510C_31,Sumber pencemaran urama : c. Udara,2,Tidak,match
R510C_32,Pencemaran Udara Lainnya,1,Limbah keluarga,R510C_32,Pencemaran Udara Lainnya,1,Limbah keluarga,match
R510C_32,Pencemaran Udara Lainnya,2,Limbah plastik,R510C_32,Pencemaran Udara Lainnya,2,Limbah plastik,match
R510C_32,Pencemaran Udara Lainnya,3,Limbah lainnya,R510C_32,Pencemaran Udara Lainnya,3,Limbah lainnya,match
R510C_4,Pengaduan ke Kades/Lurah : c. Udara,1,Ada,R510C_4,Pengaduan ke Kades/Lurah : c. Udara,1,Ada,match
R510C_4,Pengaduan ke Kades/Lurah : c. Udara,2,Tidak,R510C_4,Pengaduan ke Kades/Lurah : c. Udara,2,Tidak,match
R510D_2,Jenis pencemaran : d. Suara/Bising,-,-,R510D_2,Jenis pencemaran : d. Suara/Bising,-,-,match
R510D_31,Sumber pencemaran urama : d. Suara/Bising,-,-,R510D_31,Sumber pencemaran urama : d. Suara/Bising,-,-,match
R510D_32,Pencemaran Suara/Bising Lainnya,-,-,R510D_32,Pencemaran Suara/Bising Lainnya,-,-,match
R510D_4,Pengaduan ke Kades/Lurah : d. Suara/Bising,-,-,R510D_4,Pengaduan ke Kades/Lurah : d. Suara/Bising,-,-,match
R511A,Pembakaran ladang/kebun dalam setahun terakhir,1,Ada,R511A,Pembakaran ladang/kebun dalam setahun terakhir,1,Ada,match
R511A,Pembakaran ladang/kebun dalam setahun terakhir,2,Tidak,R511A,Pembakaran ladang/kebun dalam setahun terakhir,2,Tidak,match
R511B,"Jika ada, luas lahan yang dibakar",-,-,R511B,"Jika ada, luas lahan yang dibakar",-,-,match
R512,Lokasi penggalian golongan C di desa/kelurahan ini,1,Ada,R512,Lokasi penggalian golongan C di desa/kelurahan ini,1,Ada,match
R512,Lokasi penggalian golongan C di desa/kelurahan ini,2,Tidak,R512,Lokasi penggalian golongan C di desa/kelurahan ini,2,Tidak,match
R513A_2,Jenis bencana : a. Tanah longsor,1,Ada,R513A_2,Jenis bencana : a. Tanah longsor,1,Ada,match
R513A_2,Jenis bencana : a. Tanah longsor,2,Tidak,R513A_2,Jenis bencana : a. Tanah longsor,2,Tidak,match
R513A_3,Banyaknya kejadian : a. Tanah longsor,-,-,R513A_3,Banyaknya kejadian : a. Tanah longsor,-,-,match
R513A_4,Tahun puncak kejadian : a. Tanah longsor,-,-,R513A_4,Tahun puncak kejadian : a. Tanah longsor,-,-,match
R513A_5,Korban jiwa : a. Tanah longsor,-,-,R513A_5,Korban jiwa : a. Tanah longsor,-,-,match
R513A_6,Kerugian materi (Jutaan Rp) : a. Tanah longsor,-,-,R513A_6,Kerugian materi (Jutaan Rp) : a. Tanah longsor,-,-,match
R513B_2,Jenis bencana : b. Banjir,1,Ada,R513B_2,Jenis bencana : b. Banjir,1,Ada,match
R513B_2,Jenis bencana : b. Banjir,2,Tidak,R513B_2,Jenis bencana : b. Banjir,2,Tidak,match
R513B_3,Banyaknya kejadian : b. Banjir,-,-,R513B_3,Banyaknya kejadian : b. Banjir,-,-,match
R513B_4,Tahun puncak kejadian : b. Banjir,-,-,R513B_4,Tahun puncak kejadian : b. Banjir,-,-,match
R513B_5,Korban jiwa : b. Banjir,-,-,R513B_5,Korban jiwa : b. Banjir,-,-,match
R513B_6,Kerugian materi (Jutaan Rp) : b. Banjir,-,-,R513B_6,Kerugian materi (Jutaan Rp) : b. Banjir,-,-,match
R513C_2,Jenis bencana : c. Banjir bandang,1,Ada,R513C_2,Jenis bencana : c. Banjir bandang,1,Ada,match
R513C_2,Jenis bencana : c. Banjir bandang,2,Tidak,R513C_2,Jenis bencana : c. Banjir bandang,2,Tidak,match
R513C_3,Banyaknya kejadian : c. Banjir bandang,-,-,R513C_3,Banyaknya kejadian : c. Banjir bandang,-,-,match
R513C_4,Tahun puncak kejadian : c. Banjir bandang,-,-,R513C_4,Tahun puncak kejadian : c. Banjir bandang,-,-,match
R513C_5,Korban jiwa : c. Banjir bandang,-,-,R513C_5,Korban jiwa : c. Banjir bandang,-,-,match
R513C_6,Kerugian materi (Jutaan Rp) : c. Banjir bandang,-,-,R513C_6,Kerugian materi (Jutaan Rp) : c. Banjir bandang,-,-,match
R513D_2,Jenis bencana : d. Gempa bumi,1,Ada,R513D_2,Jenis bencana : d. Gempa bumi,1,Ada,match
R513D_2,Jenis bencana : d. Gempa bumi,2,Tidak,R513D_2,Jenis bencana : d. Gempa bumi,2,Tidak,match
R513D_3,Banyaknya kejadian : d. Gempa bumi,-,-,R513D_3,Banyaknya kejadian : d. Gempa bumi,-,-,match
R513D_4,Tahun puncak kejadian : d. Gempa bumi,-,-,R513D_4,Tahun puncak kejadian : d. Gempa bumi,-,-,match
R513D_5,Korban jiwa : d. Gempa bumi,-,-,R513D_5,Korban jiwa : d. Gempa bumi,-,-,match
R513D_6,Kerugian materi (Jutaan Rp) : d. Gempa bumi,-,-,R513D_6,Kerugian materi (Jutaan Rp) : d. Gempa bumi,-,-,match
R513E_2,Jenis bencana : e. Gempa bumi disertai tsunami,1,Ada,R513E_2,Jenis bencana : e. Gempa bumi disertai tsunami,1,Ada,match
R513E_2,Jenis bencana : e. Gempa bumi disertai tsunami,2,Tidak,R513E_2,Jenis bencana : e. Gempa bumi disertai tsunami,2,Tidak,match
R513E_3,Banyaknya kejadian : e. Gempa bumi disertai tsunami,-,-,R513E_3,Banyaknya kejadian : e. Gempa bumi disertai tsunami,-,-,match
R513E_4,Tahun puncak kejadian : e. Gempa bumi disertai tsunami,-,-,R513E_4,Tahun puncak kejadian : e. Gempa bumi disertai tsunami,-,-,match
R513E_5,Korban jiwa : e. Gempa bumi disertai tsunami,-,-,R513E_5,Korban jiwa : e. Gempa bumi disertai tsunami,-,-,match
R513E_6,Kerugian materi (Jutaan Rp) : e. Gempa bumi disertai tsunami,-,-,R513E_6,Kerugian materi (Jutaan Rp) : e. Gempa bumi disertai tsunami,-,-,match
R513F_2,Jenis bencana : f. Gelombang pasang laut,1,Ada,R513F_2,Jenis bencana : f. Gelombang pasang laut,1,Ada,match
R513F_2,Jenis bencana : f. Gelombang pasang laut,2,Tidak,R513F_2,Jenis bencana : f. Gelombang pasang laut,2,Tidak,match
R513F_3,Banyaknya kejadian : f. Gelombang pasang laut,-,-,R513F_3,Banyaknya kejadian : f. Gelombang pasang laut,-,-,match
R513F_4,Tahun puncak kejadian : f. Gelombang pasang laut,-,-,R513F_4,Tahun puncak kejadian : f. Gelombang pasang laut,-,-,match
R513F_5,Korban jiwa : f. Gelombang pasang laut,-,-,R513F_5,Korban jiwa : f. Gelombang pasang laut,-,-,match
R513F_6,Kerugian materi (Jutaan Rp) : f. Gelombang pasang laut,-,-,R513F_6,Kerugian materi (Jutaan Rp) : f. Gelombang pasang laut,-,-,match
R513G_2,Jenis bencana : g. Angin puyuh/Puting beliung,1,Ada,R513G_2,Jenis bencana : g. Angin puyuh/Puting beliung,1,Ada,match
R513G_2,Jenis bencana : g. Angin puyuh/Puting beliung,2,Tidak,R513G_2,Jenis bencana : g. Angin puyuh/Puting beliung,2,Tidak,match
